Method,Threshold,Accuracy,Precision,Recall,F1-Score,Specificity
95th Percentile,0.003264033802916189,0.5997285287881039,0.9992930202857566,0.5967816624218569,0.7472830142020866,0.9498381877022654
Mean + 2*STD,0.032257970541650416,0.22275496008968004,0.9997796247324015,0.2162605723002329,0.3556015900565478,0.9943365695792881
ROC Optimal,0.003549851110712476,0.5838454369876149,0.9996482217610019,0.5805469675714694,0.7345203272346602,0.9757281553398058
